subject,predicate,object,image_id
boat,make,way,144932
woman,show,tatttoos,337055
man,hold,umbrella,47585
men,walk,ox,455219
that,drag,metal,455219
bear,poke,head,85478
man,use,cows,455219
man,have,woman,166768
that,put,trunk,356125
man,hold,heads,287527
man,spray,elephant,486112
man,spray,elephant,486112
man,spray,elephant,486112
who,hose,elephant,486112
man,operate,laptop,76547
a,make,bed,217219
person,leave,footprints,248284
one,hold,umbrella,346232
trees,hide,bear,461036
children,play,game,61418
man,grab,tie,100428
children,play,game,61418
statue,tear,door,341094
that,pull,ties,100428
who,place,luggage,361551
tourist,unfold,umbrella,510329
boats,travel,thames,511321
bears,rip,cars,341094
lady,explain,process,114907
men,pull,umbrella,510329
people,put,suitcases,308328
woman,give,explanation,114907
person,hold,treat,570664
people,offload,baggage,308328
woman,hold,umbrella,81594
group,load,luggage,308328
that,feed,cat,570664
dog,hold,toy,206831
people,hold,umbrellas,253742
pair,kick,ball,566282
train,travel,tracks,287874
woman,take,photos,258911
truck,haul,trailers,205647
woman,hold,umbrella,401446
men,kick,ball,566282
couple,play,ball,566282
men,kick,ball,566282
woman,have,handbag,401446
dog,wear,tie,505573
meter,have,graffiti,51961
that,have,graffiti,51961
cat,drink,something,166277
female,hold,umbrella,401446
man,walk,dog,338624
man,walk,dog,338624
man,walk,dog,338624
male,have,drink,21167
man,walk,dog,338624
woman,carry,packages,417249
that,have,elephant,105923
man,load,suitcases,9891
who,lift,piece,9891
group,take,suitcases,9891
man,unload,luggage,9891
mannequins,display,clothing,423944
elephant,feed,bottle,267169
bear,shake,fur,203546
girl,have,umbrella,408120
man,feed,elephant,267169
girl,hold,umbrella,408120
bear,shake,water,203546
hand,pet,cat,375278
view,show,cubicles,310862
one,reach,head,244411
what,attract,birds,60823
fields,have,cow,244411
group,paddle,canoe,186873
woman,walk,dog,295478
woman,walk,dog,295478
that,have,umbrellas,503855
person,have,bag,375278
man,pet,cat,375278
elephant,lead,elephant,405972
that,press,heads,24919
that,have,glasses,8532
cows,eat,hay,61171
cows,eat,hay,61171
that,have,suit,167067
man,do,trick,370813
woman,watch,elephant,103723
woman,ride,bike,549390
guy,play,guitar,411953
man,play,guitar,411953
that,have,ties,406417
man,play,guitar,411953
woman,ride,bicycle,549390
woman,ride,bike,549390
girl,hold,umbrella,9448
elephant,make,way,166664
men,cross,street,25393
car,pass,elephant,166664
guys,cross,street,25393
boys,create,moves,406417
who,hold,umbrella,9448
that,wear,collar,253386
dog,wear,collar,253386
obama,give,speech,344268
cat,lick,holes,572388
who,hold,umbrella,442306
it,sniff,floor,189806
men,shake,hands,4134
that,ride,horses,276024
teenager,do,wheelie,7977
man,play,frisbee,119088
boy,watch,boy,93717
boy,do,trick,7977
dog,take,nap,170278
woman,sit,ontop,275392
dogs,read,book,262938
fribee,fly,way,391290
boy,do,trick,450559
pitcher,palm,ball,130579
man,ski,mountain,99242
man,ski,slope,99242
pitches,take,mound,130579
woman,walk,horse,54931
woman,lead,horse,54931
woman,lead,horse,54931
skater,attempt,grind,426203
mob,ski,side,376112
skiers,shake,hands,33104
hand,hold,banana,190853
people,shake,hands,33104
skateboarder,do,tricks,365521
zebras,stand,side,11760
player,field,baseball,197658
toy,lie,face,261116
men,play,baseball,574823
skiers,race,other,197388
skiers,climb,snow,176901
zebras,eat,grass,290833
men,ski,cliff,197388
man,do,trick,438907
person,do,jump,438907
skateboarder,attempt,trick,438907
dog,watch,something,236592
market,have,table,293794
skier,clear,jump,312720
man,sell,carrots,397351
man,do,trick,171382
skateboarder,grind,railing,84492
boarder,grind,rail,84492
man,do,tricks,171382
woman,play,frisbee,364102
people,ride,horses,134856
woman,throw,frisbee,364102
group,drink,water,509735
woman,throw,disc,364102
man,perform,trick,84492
bowl,have,apples,551660
people,ride,horses,134856
men,play,sports,130699
platters,display,choices,15254
people,play,game,130699
pitcher,throw,baseball,552842
man,do,tricks,128654
vase,have,horses,348488
dog,open,mouth,255664
boy,catch,ball,18491
boy,stop,him,18491
man,make,way,96825
that,have,lot,194746
group,eat,hay,51309
baskets,display,carrots,34257
chalkboard,fill,background,17182
collage,display,deserts,435081
girl,ride,pony,396863
they,play,game,533493
horse,have,mane,348243
bear,extend,tongue,417465
bikinis,ride,horses,242724
boy,ski,hill,289417
child,do,trick,451084
pears,have,spots,128598
meal,have,brocolli,299355
horse,pull,carriage,47571
that,do,trick,451084
person,ski,slope,94614
skateboarder,grind,board,373315
group,play,frisbee,521819
women,ride,horses,242724
man,take,ride,227898
skateboarder,do,trick,563648
he,hold,orange,138115
man,have,bat,398028
bowls,have,salad,132116
that,do,trick,401250
man,purse,lips,138115
skateboarder,do,trick,563648
equestrians,ride,horses,214753
skier,perform,flip,401250
women,ride,horses,242724
people,ride,horses,214753
one,eat,grass,93965
skateboarder,do,trick,13546
person,ride,horse,576052
group,ski,side,361919
they,ride,horses,7281
dog,watch,plants,22892
men,ride,horses,7281
people,ride,horses,214753
stall,sell,tomatoes,378873
man,hold,fruit,461009
riders,guide,horses,214753
boarder,do,trick,13201
farmer,use,plow,132408
each,hold,frisbee,100238
man,grind,ramp,13201
men,fasten,skis,157928
boarder,do,stunts,336209
that,do,trick,336209
person,ski,slope,5529
woman,hold,horse,319721
horses,guide,them,132408
skateboarder,ride,cityscape,361506
horses,pull,plow,132408
skateboarder,do,stunt,361506
dog,have,frisbee,221693
person,ski,hill,5529
doberman,carry,frisbee,221693
pallet,hold,display,298994
person,ski,hill,5529
person,do,tricks,161799
person,jump,horse,40036
people,play,game,319184
plate,have,sandwich,434297
people,cross,country,515577
person,jump,horse,40036
person,make,jump,40036
people,ride,horses,456015
players,play,frisbee,319184
antilope,eat,grass,516316
person,do,twist,2473
skier,do,trick,2473
people,ride,horses,456015
group,cross,line,141671
man,pack,skies,157928
girl,stand,foot,358195
sun,silhouette,turning,292415
man,use,horses,476215
man,do,trick,572620
guy,ride,board,292415
that,include,lentils,452784
man,do,trick,288862
zebras,eat,grass,516316
woman,ride,ride,213547
woman,ski,path,118921
skateboarder,do,trick,572620
man,use,horses,476215
woman,wear,jacket,118921
man,ski,turn,473121
men,pack,equipment,157928
woman,hold,cake,213547
couple,cast,shadow,567740
zebra,eat,grass,445439
person,ride,skateboard,149375
people,ride,horses,439180
group,ride,horses,439180
man,guide,pony,50380
group,surround,display,581781
rider,ride,horse,191614
skateboarder,perform,tick,149375
skateboarder,do,trick,149375
that,have,bananas,581781
person,do,jump,149375
apples,snap,peas,113589
skiier,jump,mogul,164885
plate,slice,zucchinis,138954
man,take,ride,50380
he,perform,jump,378673
person,ride,horse,191614
board,chop,vegetables,116206
men,ride,horses,303499
boy,ride,horse,308545
skateboarder,do,trick,378673
men,ride,horses,547886
person,perform,jump,402118
snowboarder,do,jump,402118
person,cross,skis,30504
group,ride,horses,547886
man,do,tricks,295138
jockeys,ride,horses,481480
people,cross,country,465836
boy,ride,horse,308545
men,ski,snow,465836
person,ski,hill,544444
male,prepare,frisbee,328337
man,enjoy,day,544444
people,cross,country,414170
bunch,include,tangerines,60855
woman,have,scarf,313562
person,ride,skateboard,476258
who,clean,himself,1818
zebra,suckle,milk,1818
group,eat,hay,116589
batter,miss,baseball,119445
bear,raise,lies,92839
kid,ride,street,442463
tree,die,leaves,44260
bear,have,chin,92839
boy,hold,peel,437205
bears,open,mouths,560266
bears,play,fight,560266
who,eat,banana,437205
person,wear,skis,83540
player,swing,bat,119445
skateboarder,do,trick,443844
chair,have,statue,269932
person,do,tricks,172935
man,ride,skateboard,324158
man,do,trick,443844
group,cross,stream,545730
zebras,cross,stream,545730
man,ride,horse,199236
person,cross,country,220764
person,ride,horse,199236
area,inlude,zebra,16010
man,swing,bat,43816
player,hit,baseball,43816
some,cut,oranges,231527
man,slide,handrail,161879
skateboarder,do,trick,161879
batter,take,swing,43816
grazes,notice,photographer,60770
skier,take,break,227491
kale,get,rays,396274
woman,train,horse,15956
who,use,snowboard,95155
guy,ride,board,157365
that,include,carrots,157390
horses,line,some,185473
men,drive,horses,185473
dog,stick,head,263463
he,teach,boy,87476
man,do,trick,31093
which,include,pieces,579091
that,hold,remotes,564280
that,include,raspberries,516871
people,need,line,330396
man,play,baseball,434548
combination,showcase,types,417285
group,throw,frisbie,82986
zebras,lose,parents,545129
that,include,bananas,560256
group,play,ball,84031
that,include,chicken,34205
group,ride,horses,80659
horses,race,other,48555
people,race,horses,48555
person,do,trick,377635
plate,have,potatoes,106266
that,include,bananas,535253
plate,include,meat,127494
man,make,cut,398438
person,do,trick,439854
they,play,game,163118
woman,ride,skateboard,500270
that,cut,cake,398438
guy,jump,steps,68628
plate,have,pasta,559707
man,preform,trick,9378
people,stick,knives,447611
boy,ride,skateboard,404249
man,do,trick,9378
woman,ski,slope,161781
banana,slice,butter,521540
plate,have,banana,521540
man,spin,frisbee,9378
man,hold,frisbee,102805
zebra,chew,flower,172977
meal,feature,steak,104669
zebras,battle,other,562121
zebra,have,fight,562121
pitcher,throw,pitch,153797
man,eat,food,400794
person,do,trick,65350
child,blow,candles,405249
that,have,wheel,476258
person,ski,slope,378244
man,jump,ramp,349860
people,ride,horses,382111
player,have,hand,257478
zebra,rest,head,454750
woman,hold,bagel,38678
add,cook,vegetables,447522
skier,ski,slope,378244
woman,show,bagel,38678
plate,have,waffle,128658
dish,contain,carrots,447522
player,hold,glove,253695
horse,pull,something,463522
woman,show,bagel,38678
child,hold,frisbee,481413
person,do,trick,576566
one,throw,frisbee,283520
boarder,hang,time,581357
that,have,broccoli,356498
teenager,do,stunts,581357
child,throw,frisbee,261036
hand,hold,carrot,113235
man,do,trick,431848
man,ski,hill,38118
that,feed,carrot,113235
man,squeeze,juice,366711
shirtless,go,ramp,15597
which,have,something,79014
shirtless,do,trick,15597
that,snowboard,hill,184978
men,wear,shirts,243989
that,have,skateboard,128699
slab,hold,fruit,189078
that,have,wheels,300842
that,have,food,460494
man,lace,boots,516677
snowboarder,go,slope,184978
man,jump,board,128699
player,throw,ball,451879
pitch,approach,batter,239773
dish,include,sprigs,188906
sandwich,have,cilantro,118367
bowl,have,broccoli,141328
man,throw,frisbee,325991
man,play,catch,428218
player,swing,bat,188465
game,take,place,188465
man,throw,frisbee,223955
figures,put,skateboards,544052
woman,ski,slope,785
person,make,way,785
jeter,swing,bat,501005
skateboarder,flip,board,169356
player,hit,ball,192670
he,hit,ball,153669
game,throw,ball,439994
dogs,chase,other,125405
man,perform,trick,169356
person,ride,skateboard,476119
boys,hit,baseball,192670
that,swing,bat,501005
man,find,frisbee,102805
who,throw,ball,153797
pitcher,throw,ball,153797
men,play,game,205324
people,climb,mountain,424551
group,chase,frisbee,205324
people,climb,side,424551
man,direct,them,560880
rider,ride,horse,441442
person,go,mountain,424551
man,ride,horse,441442
person,ride,horse,441442
girl,ride,horse,441442
that,have,broccoli,15278
person,eat,chilli,558854
boy,ride,skateboard,172649
horse,pull,carriage,427655
guy,wear,pants,172649
that,have,people,427655
skier,make,jump,196442
kid,ride,board,172649
skiers,enjoy,run,86755
men,ride,skateboards,150649
two,hold,frisbee,6954
this,show,view,546823
boys,hold,frisbees,6954
people,hike,mountain,54592
zebras,eat,hay,68933
pot,chop,vegetables,393838
guy,play,baseball,501005
waffle,have,slices,479448
someone,hold,fork,174123
skillet,contain,meat,29640
males,play,frisbee,468632
people,ride,horses,23034
some,cut,vegetables,7991
man,descend,mountain,464144
that,have,pile,7991
man,ski,mountain,464144
woman,ski,hill,493442
skier,descend,slope,496409
guys,play,golf,424642
group,pet,horse,481582
guys,play,game,424642
skier,slalom,hill,496409
that,take,picture,350148
boy,perform,tricks,448365
group,play,game,153229
that,have,kinds,203095
man,take,picture,350148
that,jump,skateboard,448365
person,ride,horse,140270
men,play,frisbee,153229
woman,ride,horse,140270
group,play,frisbee,269316
jockey,ride,horse,140270
woman,ride,horse,140270
plate,hold,salad,248980
people,play,game,153229
man,practice,moves,306437
man,perform,tricks,192964
man,ride,skateboard,192964
skateboarder,do,trick,192964
who,remove,mask,569825
who,throw,baseball,282037
players,have,practice,282037
man,catch,baseball,515982
man,do,tricks,535306
man,prepare,food,330818
family,play,frisbee,334719
person,ride,horse,244099
man,swinge,bat,129945
dishes,have,kinds,194940
children,fly,kite,334719
player,swing,bat,129945
who,hold,glass,425361
woman,wear,black,439522
woman,ski,hill,314709
it,cross,plate,464089
bowls,have,peppers,194940
guy,have,fun,314709
that,have,wine,425361
man,wear,light,107094
giraffe,share,area,163290
man,perform,trip,121591
giraffe,eat,limb,163290
man,ski,slope,51712
people,ski,slope,516601
man,use,phone,199055
plant,have,leaves,410934
someone,eat,it,560178
hand,hold,radish,560178
someone,hold,veggie,560178
person,have,knife,81738
it,wear,collar,364636
players,have,fun,537827
that,make,catch,235241
dog,have,eyes,364636
meal,have,rice,3501
person,ski,slope,329827
couple,pull,contraption,317433
bananas,make,sight,6012
batter,tap,bat,72795
that,ski,slope,528314
men,sell,amount,90891
woman,purchase,food,304180
man,film,another,396200
man,perform,trick,528314
woman,hold,her,304180
person,ski,mountain,528314
tree,have,bunch,439290
man,get,air,378454
men,ride,horses,121031
plate,hold,portion,407524
men,ride,horses,121031
riders,cross,river,121031
person,ride,skateboard,146831
skateboarded,go,jump,146831
men,ride,horses,121031
plant,have,bloom,78959
woman,play,frisbee,239857
orange,join,orange,283070
tray,include,items,236721
skiers,ski,slope,274708
dogs,play,frisbee,90003
child,wear,helmet,562229
someone,cook,fry,308430
someone,cook,vegetarian,308430
skateboarder,attempt,air,419408
skateboarders,do,trick,419408
boy,jump,skateboard,308165
person,jump,gate,553990
that,have,slice,463283
woman,ride,horse,553990
pitcher,hold,arm,345466
that,ride,horse,454798
player,throw,pitch,345466
person,ride,horse,454798
boy,ride,horse,454798
player,throw,pitch,345466
man,perform,tricks,428111
man,do,tricks,125472
zebra,groom,self,325306
man,exit,building,572900
man,throw,frisbee,568213
which,show,reflection,491613
man,toss,frisbee,572900
man,throw,frisbee,572900
woman,make,face,353051
who,wear,glove,162415
that,have,bananas,312406
skater,do,tricks,26690
lady,pass,watermelon,331799
girl,hold,mit,162415
that,hand,fruit,331799
woman,hand,slices,331799
group,leave,trail,3255
woman,hand,package,331799
skiers,do,flip,542127
horse,eat,grass,226883
man,hold,bat,485480
placemat,have,cilantro,251537
person,do,flip,261982
person,do,trick,261982
people,load,horse,97924
people,perform,flips,542127
that,have,zebra,110211
zebras,share,grassland,110211
jump,hon,skis,352760
mules,ascend,stairway,241677
meal,have,side,191580
person,hold,apples,537506
man,serve,apple,537506
person,hold,plate,537506
one,hold,apples,537506
group,walk,steps,241677
that,hold,lime,347370
man,perform,trick,22479
man,perform,jump,22479
man,ride,horse,574297
whose,pet,horse,12748
jockey,ride,horse,574297
that,have,peel,347370
group,hold,frisbees,13291
skateboarder,hold,bottom,22479
bunch,walk,stairs,241677
people,cross,country,309467
that,ride,horse,574297
teams,play,baseball,123213
hand,hold,piece,347370
man,hold,frisbees,34452
horse,chew,ferns,380203
rider,take,horse,576955
they,ski,it,309467
man,guide,horse,576955
that,have,fruit,303566
that,have,types,470121
market,have,variety,303566
man,throw,baseball,430961
dog,get,frisbee,369541
child,eat,apple,188592
team,wear,shirts,247917
that,have,boxes,303566
skateboarder,perform,trick,327306
which,show,people,377486
who,perform,trick,132703
dog,hang,head,151962
dog,catch,frisbee,17029
dog,catch,frisbee,17029
that,take,picture,568981
that,have,food,70048
that,have,skiies,80671
ladies,ride,horses,303653
guy,do,tricks,327306
man,wlak,field,235784
man,cast,shadow,327306
boy,ride,skateboard,327306
guy,take,picture,421455
person,hold,phone,421455
that,have,bunch,301563
woman,hold,phone,421455
littleboy,perform,trick,291551
man,ski,slopes,301563
person,jump,horse,242678
tray,have,sandwich,70048
skier,perform,jump,342397
skier,perform,jump,421060
woman,carry,box,453708
that,have,carrot,276055
man,poke,head,568981
man,slide,slope,342397
woman,hold,carrot,276055
man,throw,frisbee,25057
that,include,soup,296634
teenager,shoot,flames,258388
man,ride,skateboard,258388
that,have,burger,18575
that,have,food,549167
who,perform,tricks,111207
snapshots,do,stunts,111207
bowl,have,meat,296634
man,pet,horse,506656
market,have,items,376307
man,ignite,spray,258388
that,face,directions,504439
jockeys,race,horses,360661
man,practice,tricks,258388
zebras,go,directions,504439
people,ride,horses,360661
that,pull,carriage,229948
group,take,break,516677
that,ski,hill,38118
that,have,neck,377497
another,throw,ball,451879
man,make,jump,128699
couple,ride,horses,242724
plate,hold,broccoli,460494
man,attempt,trick,190841
man,attempt,trick,190841
skier,do,trick,43314
men,play,game,127263
player,hold,bat,6471
bowl,hold,soup,123321
bowl,contain,amount,123321
men,push,horse,97924
man,play,tennis,238013
machine,make,donuts,245311
man,change,bulb,117719
lifeguard,help,boarder,128675
that,contain,lot,117719
who,make,shot,386352
group,play,game,467176
friends,play,game,467176
scene,have,photos,124659
court,have,people,326248
basement,have,people,124659
man,blow,candles,206579
hand,slice,pizza,385029
man,swinge,tennis,85772
man,cut,pizza,385029
crust,cut,pizza,172571
man,blow,candles,206579
men,skate,road,278705
table,have,pizza,47112
surfers,ride,wave,375469
surfers,ride,wave,375469
racket,have,ball,179285
surfer,ride,wave,532493
people,prepare,kind,161925
surfer,carry,board,425702
photographers,take,pictures,121744
woman,prepare,pizza,287347
hand,pull,slice,353027
girl,take,portrait,521509
batter,hit,pitch,132544
man,surf,wave,417911
photographers,snap,photos,121744
person,cut,pizza,161925
group,take,lessons,326174
girl,set,camera,521509
group,carry,boards,326174
toddler,stick,tongue,420840
surfer,ride,wave,63154
surfer,catch,wave,63154
teens,play,games,91500
which,include,onions,9914
woman,celebrate,play,39480
girl,use,brush,92091
woman,hold,baby,84674
girls,play,soccer,22935
girl,hold,baby,84674
boys,kick,ball,225405
boys,play,game,225405
man,play,tennis,373382
plate,contain,sandwich,227985
woman,play,tennis,327701
sandwich,dominate,plate,533206
men,shake,hands,429761
woman,serve,ball,327701
players,shake,hands,429761
players,face,other,429761
man,ride,wave,4765
woman,hit,ball,327701
man,hold,slice,382125
nightstand,hold,class,384651
man,hold,racket,133418
that,have,lamp,384651
men,shake,hands,429761
person,parachute,surfing,449603
cake,await,guests,277689
women,take,bite,441491
surfer,killin,it,449603
boy,play,soccer,135604
skateboarder,do,trick,473118
surfer,catch,waves,262587
skateboarder,turn,board,473118
person,pick,piece,554735
man,balance,himself,473118
someone,hug,him,570471
women,take,bite,441491
people,enjoy,day,540932
bedding,create,environment,68286
player,hit,ball,78915
girls,share,bite,441491
lady,take,shot,78915
player,swing,racket,31217
that,eat,food,480936
cake,have,frosting,92177
cake,feature,island,92177
surfer,ride,board,561223
woman,eat,food,480936
man,dodge,waves,561223
people,hold,skis,561958
one,hold,racket,44877
man,hold,toothbrush,55528
people,attend,event,561958
table,have,dog,400082
boy,ride,wave,79031
girl,play,tennis,44877
man,hold,racket,351823
people,carry,snowboards,561958
man,eat,dog,148662
that,eat,food,148662
cake,have,flowers,495448
man,take,picture,146358
surfer,carry,board,516173
spectators,watch,competition,364884
man,hold,dog,148662
match,take,place,402615
people,cross,road,329456
girls,have,fun,447917
fork,surround,plate,320664
girl,take,bite,473237
man,surf,wave,82715
children,play,soccer,447917
surfer,ride,wave,51314
woman,ride,dolphin,190307
he,play,tennis,325347
person,eat,pastry,426795
player,make,shuffle,325347
man,take,picture,62808
woman,ride,nose,190307
men,play,soccer,457559
baby,have,hand,497344
man,photograph,pizza,62808
woman,walk,water,516173
player,serve,ball,485027
person,watch,television,509699
he,type,something,497344
monitor,display,screen,353096
surfer,ride,board,334530
player,strike,ball,409211
hald,eat,corn,451571
couple,hold,member,398742
men,hold,man,398742
girls,hold,donuts,459662
workstation,feature,monitors,225757
male,wear,tennis,406129
mates,lift,one,398742
child,brush,teeth,544519
child,hold,dogs,179898
person,hold,dog,283268
man,reach,racket,406129
guy,throw,ball,485027
kid,hold,dogs,179898
one,hold,cake,180560
child,hold,toothbrush,544519
desk,have,monitors,225757
boy,hold,couple,179898
girl,brush,teeth,544519
parent,serve,dog,283268
snowboarder,grab,board,400044
snowboarder,finish,run,492968
man,wake,boarding,232692
girl,have,plate,140987
man,throw,balls,187055
teams,lift,players,142238
girl,hold,racket,187055
girls,look,the,459662
children,play,game,556000
plate,contain,items,530146
girls,hold,doughnuts,459662
player,hold,racket,80022
player,return,ball,80022
a,make,space,571313
children,hold,doughnuts,459662
some,drink,plates,513041
table,have,plate,530146
group,hold,people,142238
table,have,cup,344100
person,ride,hill,80273
plate,have,pizza,194724
peeson,eat,pizza,513041
lady,make,gestures,180560
team,celebrate,players,142238
half,eat,sandwich,344100
man,surf,wave,381360
children,ride,surfboards,274066
child,brush,teeth,544519
donuts,fill,table,349152
surfer,steady,move,381360
that,wipe,eye,257865
boarder,take,wave,381360
boy,hold,racquet,200421
man,hold,plate,45550
woman,show,delight,327592
room,have,chairs,36844
who,brush,teeth,544519
instructor,teach,girl,274066
man,snowboard,hill,80273
men,play,wii,495732
woman,ride,hill,109992
man,show,sandwiches,45550
man,carry,surfboard,493864
boy,ride,board,109992
woman,play,tennis,166165
boy,play,games,369310
picks,rub,eye,257865
cake,have,pond,493334
women,play,game,166165
man,take,picture,529762
woman,surfs,wave,356505
child,hold,racket,200421
man,take,picture,529762
table,have,cupcakes,318455
woman,ride,waves,356505
child,play,game,369310
man,play,tennis,257865
hand,hold,bitten,439426
man,play,soccer,365095
person,hold,doughnut,439426
area,feature,mirror,231549
salad,make,lunch,189752
player,take,swing,551804
that,include,pizza,189752
cake,display,words,493334
woman,play,tennis,551804
person,hold,doughnut,326462
man,swing,racket,151629
woman,slice,cake,568195
one,cut,cake,568195
couple,enjoy,pizza,113720
person,hold,doughnut,326462
woman,eat,donuts,341973
man,hold,pizza,491008
that,return,serve,229849
young,enjoy,cake,321214
woman,eat,piece,162092
man,take,swing,151629
man,ride,skateboard,581062
guy,ride,skateboard,581062
woman,cut,cake,568195
computer,sit,setup,569059
waitress,hold,pizza,491008
man,hold,pizza,491008
toddler,eat,cake,321214
utilizing,cement,structure,581062
guy,take,aim,151629
large,make,bed,213422
bedroom,have,wall,39956
who,ride,wave,320696
bed,have,pillows,213422
desk,have,computer,569059
man,swinge,racket,493905
woman,brush,teeth,500565
woman,hold,baby,500565
which,have,missing,341973
man,play,tennis,410496
boys,play,indoors,96427
boys,play,tennis,96427
donuts,fill,plate,478136
that,contain,sandwiches,120777
children,play,game,96427
room,have,bed,632
men,get,food,163640
which,hold,bread,163640
game,have,device,379842
each,hold,something,571598
that,have,frame,497628
that,have,frame,497628
pizza,have,olives,430973
woman,hold,dog,137246
man,brush,teeth,218439
people,eat,pizza,292446
kids,ride,surfboards,64898
guy,flip,skateboard,185950
boy,perform,stunt,185950
they,slice,cake,439525
wood,panel,walls,120584
that,include,pickles,499109
woman,hold,slice,63965
mean,play,tennis,203864
people,play,game,203864
herb,top,pizza,499313
room,make,beds,7795
advertisement,depict,male,438304
boys,play,volleyball,49759
adidas,feature,players,438304
man,hit,ball,162581
girl,glide,hill,343937
adidas,show,players,438304
person,hold,tomato,309678
man,swinge,racket,162581
surfer,ride,wave,39785
lunchbox,have,sandwich,251119
person,do,trick,230983
woman,hold,racket,266892
woman,hide,face,324614
woman,brush,teeth,324614
teeth,hold,hand,324614
woman,play,game,266892
man,do,trick,230983
couple,have,sandwiches,234779
man,ride,surfboard,270122
player,grip,racquet,554156
people,play,tennis,551820
room,show,collection,453341
someone,hold,plate,294831
plare,take,swing,551820
that,sell,fruit,125936
man,ride,wave,485071
man,ride,surfboard,364126
that,sell,bananas,125936
woman,play,game,261535
man,watch,waves,187362
man,ride,surfboard,364126
boards,adorn,windows,74200
surfboards,line,windows,74200
woman,play,game,65736
who,hold,racket,261535
players,have,confrontation,162732
bride,cut,cake,482275
player,hit,ball,65736
he,catch,wave,515350
player,lift,skirt,261535
woman,hit,ball,65736
surfer,take,spill,220584
surfer,lose,balance,220584
woman,play,game,551215
male,surfer,skills,437331
bear,watch,player,463802
person,ride,wave,437331
man,ride,wave,437331
one,have,sprinkles,109798
guests,mess,room,329080
player,show,excitement,361147
females,hold,donuts,341973
who,brush,teeth,500565
player,hold,racket,223959
person,ride,surfboard,390246
child,brush,teeth,500565
surfer,ride,end,320696
man,hold,surfboards,5193
teams,kick,ball,438862
man,hold,surfboards,5193
man,make,splash,191672
woman,ride,wave,404805
man,ride,wave,191672
man,hold,knife,263969
couple,cut,cake,263969
woman,consider,waves,59635
woman,surf,wave,404805
person,surf,wave,148739
men,play,soccer,438862
people,carry,surfboards,59635
table,have,meat,561465
bride,cut,cake,263969
man,ride,waves,567011
man,ride,surfboard,27972
plate,have,pizza,511453
woman,brush,teeth,445999
greens,dry,tomatoes,555412
machine,make,bagels,535523
wild,ride,waves,230819
man,present,cake,391722
baby,hold,toothbrush,311394
surfer,ride,wave,230819
surfer,catch,wave,230819
man,hand,cake,391722
person,hold,hand,137106
girl,brush,teeth,445999
that,have,food,173004
person,do,trick,51938
child,hold,toothbrush,311394
woman,hold,racket,327617
baby,hold,toothbrush,311394
girl,brush,teeth,445999
woman,play,game,498032
that,hold,book,551439
woman,raise,torch,498032
man,ride,surfboard,122672
who,perform,trick,456303
snowboarder,do,flip,456303
man,swinge,racket,64718
woman,inspect,features,383838
boy,ride,wave,471756
he,ride,board,471756
man,hold,paddle,112298
man,lift,weight,112298
bed,have,pillows,468245
oven,contain,dish,344795
surfer,ride,wave,378116
man,wear,robe,170191
toddler,brush,teeth,175251
boy,brush,teeth,175251
plates,have,food,108253
that,have,toothbrush,175251
that,have,sandwich,432085
that,have,racquet,274411
surfer,surfs,wave,252701
man,ride,board,252701
people,play,match,372577
girl,play,tennis,274411
players,shake,hands,76468
fryer,have,rows,254016
that,hold,lot,254016
players,shake,hands,76468
people,shake,hands,76468
that,have,pieces,232489
that,have,kinds,405195
that,have,sandwich,167572
sandwich,have,meat,417608
woman,watch,her,179487
table,have,sandwich,417608
women,hand,cake,517056
man,serve,ball,88970
people,eat,pizza,474167
person,ride,wave,51976
boy,blow,candles,180101
that,sit,plate,526197
that,serve,ball,88970
that,have,prices,526197
person,hold,pastry,475064
guy,do,tricks,37689
some,do,nuts,449312
women,sell,cakes,300276
she,hit,pall,551215
surfer,reach,peak,263403
baker,place,goods,231125
that,have,socks,536038
woman,read,something,536038
that,miss,slice,163611
woman,sit,pizza,336356
girl,eat,slice,361238
surfer,ride,wave,224222
guys,catch,waves,224222
friend,wave,oceans,224222
man,hold,child,468332
chair,have,pillow,416534
man,play,tennis,183391
surfer,do,trick,532481
people,hold,controls,512657
headphones,play,game,345252
who,hold,girl,468332
people,play,game,512657
snowboarder,do,trick,23359
person,snowboard,slope,426376
person,hold,hands,426376
surfers,catch,waves,332351
man,ride,wave,579635
surfer,ride,waves,579635
bride,cut,cake,350679
surfer,ride,wave,393056
group,ride,waves,332351
that,say,8:25,551780
person,ride,wave,210915
person,ride,wave,441286
man,ride,wave,210915
man,surf,wave,50943
person,prepare,surfboard,193674
person,ride,wave,50943
surfer,ride,wave,441286
man,play,tennis,237071
man,play,game,237071
vendor,serve,hotdog,210230
woman,put,dog,210230
that,have,lot,422886
boy,ride,wave,389197
boy,hold,control,96493
man,stuff,dog,422886
boy,ride,board,389197
that,have,scarf,563758
bear,have,handkerchief,563758
man,hold,plate,296222
people,play,game,75612
kid,wear,blanket,96493
man,open,box,248400
kid,hold,box,323355
boy,hold,pizza,323355
that,have,tinfoil,465430
child,hold,box,323355
i,want,pizza,197022
person,do,trick,491130
couple,play,games,320642
group,get,food,250901
he,get,ball,19432
couple,surround,sandwich,250901
that,have,lot,250901
man,surf,wave,376206
he,finish,meal,334417
boy,bounce,ball,177065
player,throw,ball,376900
hotel,have,tv,442323
plates,have,tortillas,138241
table,hold,items,180878
man,ride,wave,376206
dish,sit,glasses,242060
instructor,teach,students,410456
